Merk,ModelName,Tipe,Transmisi,Tahun,min_price,avg_price,max_price,count,KodeDaerah,lokasi,kilometer2
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,88000000,97250000.0,106500000,2,KT,SAMARINDA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,83000000,89000000.0,95000000,2,L,SURABAYA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,87000000,87000000.0,87000000,1,N,SURABAYA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,88000000,88000000.0,88000000,1,N,SURABAYA,>50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,91500000,91500000.0,91500000,1,PA,MAKASSAR,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,89000000,89000000.0,89000000,1,S,SURABAYA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,100000000,100000000.0,100000000,1,S,SURABAYA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,85000000,85000000.0,85000000,1,S,Surabaya,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,90500000,90500000.0,90500000,1,T,BANDUNG,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,86000000,86000000.0,86000000,4,T,JAKARTA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,87000000,92200000.0,93500000,5,T,JAKARTA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,94500000,94500000.0,94500000,1,W,SURABAYA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,97000000,97000000.0,97000000,1,Z,BANDUNG,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2025,96000000,96000000.0,96000000,1,AD,SEMARANG,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2025,87000000,87000000.0,87000000,1,B,JAKARTA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2025,90000000,90000000.0,90000000,1,B,JAKARTA,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2025,92000000,95375000.0,100000000,4,B,JAKARTA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2025,105500000,105500000.0,105500000,1,BA,PADANG,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2025,101000000,102000000.0,103000000,2,BA,PADANG,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2025,107000000,107000000.0,107000000,1,BM,PEKANBARU,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2025,104500000,104500000.0,104500000,1,BN,PINANG,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2025,106000000,106000000.0,106000000,1,DD,MAKASSAR,<10k
